9,2,3,4,5,6,7,8,9
nb,nb,od,,Over Cap-E,,limiting wall,OverCap-E1,WT KG
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21,,25,N/A,4.57,25,0.05
0+3/4,20,27,,25,N/A,3.81,25,0.06
1,25,33,,38,N/A,4.57,38,0.13
1+1/4,32,42,,38,N/A,4.83,38,0.17
1+1/2,40,48,,38,N/A,5.08,38,0.23
2,50,60,,38,N/A,5.59,44,0.27
2+1/2,65,73,,38,N/A,7.11,51,0.45
3,80,89,,51,N/A,7.62,64,0.7
3+1/2,90,102,,64,N/A,8.13,76,1.05
4,100,114,,64,N/A,8.64,76,1.2
5,125,141,,76,N/A,9.65,89,1.9
6,150,168,,89,N/A,10.92,102,3.2
8,200,219,,102,N/A,12.7,127,5.7
10,250,273,,127,N/A,12.7,152,9.2
12,300,324,,152,N/A,12.7,178,13
14,350,356,,165,N/A,12.7,191,16.5
16,400,406,,178,N/A,12.7,203,22
18,450,457,,203,N/A,12.7,229,27
20,500,508,,229,N/A,12.7,254,34
22,550,559,,254,N/A,12.7,254,N/A
24,600,610,,267,N/A,12.7,305,45
26,650,660,N/A,267,N/A,12.7,N/A,46.5
28,700,711,N/A,267,N/A,12.7,N/A,56
30,750,762,N/A,267,N/A,12.7,N/A,62
